"name","rank","state_name","state_code","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","type","degree_length","in_state_total","out_of_state_total"
"Lawrence University",5,"Wisconsin","WI",51500,98800,58,25,"Private","4 Year",57816,57816
"Lehigh University",2,"Pennsylvania","PA",69500,134100,45,52,"Private","4 Year",66530,66530
"Lenoir-Rhyne University",10,"North-Carolina","NC",46400,86300,54,7,"Private","4 Year",48910,48910
"LeTourneau University",18,"Texas","TX",56600,98900,53,21,"Private","4 Year",40180,40180
"Lewis & Clark College",10,"Oregon","OR",50000,93200,51,12,"Private","4 Year",63424,63424
"Lewis University",25,"Illinois","IL",49700,89800,53,14,"Private","4 Year",43028,43028
"Lewis-Clark State College",7,"Idaho","ID",44900,77600,60,5,"Public","4 Year",14198,26816
"Limestone College",16,"South-Carolina","SC",42100,76500,57,10,"Private","4 Year",35765,35765
"Lindenwood University",21,"Missouri","MO",45100,78500,48,9,"Private","4 Year",26600,26600
"Lindsey Wilson College",25,"Kentucky","KY",35300,64100,52,2,"Private","4 Year",34235,34235
"Lipscomb University",9,"Tennessee","TN",49000,84800,59,12,"Private","4 Year",44796,44796
"Longwood University",21,"Virginia","VA",47300,83300,54,9,"Public","4 Year",25086,41046
"Loras College",7,"Iowa","IA",48000,90100,56,14,"Private","4 Year",42459,42459
"Louisiana College",17,"Louisiana","LA",44800,79800,58,4,"Private","4 Year",22618,22618
"Louisiana Tech University",3,"Louisiana","LA",53100,100700,57,24,"Public","4 Year",16140,25053
"Loyola Marymount University",18,"California","CA",58500,113300,39,9,"Private","4 Year",63012,63012
"Loyola University Chicago",12,"Illinois","IL",53400,96000,45,15,"Private","4 Year",58528,58528
"Loyola University Maryland",5,"Maryland","MD",59900,111200,40,8,"Private","4 Year",63515,63515
"Loyola University New Orleans",9,"Louisiana","LA",47900,88600,47,4,"Private","4 Year",53072,53072
"Luther College",14,"Iowa","IA",48200,85900,49,21,"Private","4 Year",51750,51750
"Lyndon State College",13,"Vermont","VT",41500,75100,49,8,"Public","4 Year",22672,35992
"Lynn University",22,"Florida","FL",46100,85000,45,2,"Private","4 Year",50380,50380
"Lyon College",15,"Arkansas","AR",41200,74300,53,33,"Private","4 Year",37920,37920
"Macalester College",6,"Minnesota","MN",53600,100400,51,31,"Private","4 Year",66500,66500
"Maharishi University of Management",16,"Iowa","IA",46800,85200,NA,65,"Private","4 Year",23930,23930
"Maine College of Art",17,"Maine","ME",36300,64600,37,0,"Private","4 Year",46890,46890
"Maine Maritime Academy",1,"Maine","ME",67000,121800,65,48,"Public","4 Year",23788,37408
"Manchester University",20,"Indiana","IN",46900,84700,56,10,"Private","4 Year",42338,42338
"Manhattan Christian College",24,"Kansas","KS",39400,72200,NA,0,"Private","4 Year",24942,24942
"Manhattan College",12,"New-York","NY",64000,125700,46,40,"Private","4 Year",59680,59680
"Marietta College",15,"Ohio","OH",51200,94300,57,45,"Private","4 Year",47360,47360
"Marquette University",2,"Wisconsin","WI",57800,105900,52,25,"Private","4 Year",54590,54590
"Marshall University",9,"West-Virginia","WV",45000,79700,50,12,"Public","4 Year",18578,29064
"Maryland Institute College of Art",24,"Maryland","MD",49000,84500,40,0,"Private","4 Year",61910,61910
"Marylhurst University",19,"Oregon","OR",46200,79800,63,0,"Private","4 Year",20835,20835
"Marymount University",12,"Virginia","VA",52300,93100,44,15,"Private","4 Year",44656,44656
"Maryville College",24,"Tennessee","TN",42800,75300,68,16,"Private","4 Year",46304,46304
"Maryville University of Saint Louis",18,"Missouri","MO",46800,80100,53,2,"Private","4 Year",38558,38558
"Massachusetts Institute of Technology",1,"Massachusetts","MA",86300,155200,52,69,"Private","4 Year",67342,67342
"Massachusetts Maritime Academy",8,"Massachusetts","MA",67900,117500,53,47,"Public","4 Year",22399,38777
"Mayville State University",4,"North-Dakota","ND",43700,81300,44,10,"Public","4 Year",14506,17239
"McDaniel College",12,"Maryland","MD",51100,94600,54,6,"Private","4 Year",54690,54690
"McNeese State University",11,"Louisiana","LA",50200,88200,57,13,"Public","4 Year",16563,27638
"McPherson College",14,"Kansas","KS",44500,80900,59,9,"Private","4 Year",37739,37739
"MCPHS University",6,"Massachusetts","MA",65900,121800,71,2,"Private","4 Year",49105,49105
"Medical University of South Carolina",5,"South-Carolina","SC",54800,92700,88,6,"Public","4 Year",26826,26826
"Menlo College",20,"California","CA",61900,112400,59,0,"Private","4 Year",57025,57025
"Mercer University",11,"Georgia","GA",48500,85100,62,14,"Private","4 Year",48510,48510
"Merrimack College",22,"Massachusetts","MA",56000,102500,50,13,"Private","4 Year",57605,57605
"Methodist College",23,"Illinois","IL",51400,90500,NA,0,"Private","4 Year",28240,28240
"Methodist University",19,"North-Carolina","NC",45800,80500,58,9,"Private","4 Year",46736,46736
"Metropolitan State University",20,"Minnesota","MN",50200,85900,53,11,"Public","4 Year",7879,14980
"Metropolitan State University of Denver",11,"Colorado","CO",49400,87200,51,11,"Public","4 Year",7665,20847
"Michigan State University",5,"Michigan","MI",55300,100800,46,20,"Public","4 Year",24782,50087
"Michigan Technological University",2,"Michigan","MI",65000,116300,47,81,"Public","4 Year",26402,44482
"Mid-America Christian University",21,"Oklahoma","OK",40700,74100,71,0,"Private","4 Year",26370,26370
"MidAmerica Nazarene University",18,"Kansas","KS",46200,78500,60,1,"Private","4 Year",39444,39444
"Middle Georgia State University",23,"Georgia","GA",44000,79800,57,11,"Public","4 Year",13688,22648
"Middle Tennessee State University",15,"Tennessee","TN",46500,81100,52,9,"Public","4 Year",18642,37800
"Middlebury College",1,"Vermont","VT",60400,109800,54,19,"Private","4 Year",69980,69980
"Midland University",13,"Nebraska","NE",43800,78100,60,7,"Private","4 Year",41334,41334
"Midway University",22,"Kentucky","KY",39200,70300,53,3,"Private","4 Year",33130,33130
"Miles College",25,"Alabama","AL",34800,65100,64,19,"Private","4 Year",18646,18646
"Milligan College",25,"Tennessee","TN",41200,74900,63,5,"Private","4 Year",40800,40800
"Millsaps College",3,"Mississippi","MS",49300,88700,56,24,"Private","4 Year",53640,53640
"Milwaukee School of Engineering",1,"Wisconsin","WI",65700,117600,50,69,"Private","4 Year",51138,51138
"Minneapolis College of Art and Design",24,"Minnesota","MN",47400,84700,39,0,"Private","4 Year",44820,44820
"Minot State University",7,"North-Dakota","ND",44500,74100,55,7,"Public","4 Year",13674,13674
"Mississippi College",5,"Mississippi","MS",45200,79500,57,20,"Private","4 Year",28326,28326
"Mississippi State University",1,"Mississippi","MS",51100,94100,57,27,"Public","4 Year",18850,33450
"Mississippi University for Women",10,"Mississippi","MS",39500,69500,63,2,"Public","4 Year",14464,14464
"Mississippi Valley State University",14,"Mississippi","MS",32500,61900,70,11,"Public","4 Year",14613,14613
"Missouri University of Science and Technology",1,"Missouri","MO",67300,122600,50,80,"Public","4 Year",20443,38773
"Missouri Western State University",22,"Missouri","MO",43400,77700,53,14,"Public","4 Year",6466,14137
"Monmouth University",18,"New-Jersey","NJ",52200,93200,44,13,"Private","4 Year",52119,52119
"Montana State University",2,"Montana","MT",53700,96200,54,31,"Public","4 Year",17521,34949
"Montana Tech of the University of Montana",1,"Montana","MT",61200,112600,64,61,"Public","4 Year",17067,32230
"Montclair State University",14,"New-Jersey","NJ",50800,95400,42,9,"Public","4 Year",28354,36142
"Morehead State University",16,"Kentucky","KY",41300,74900,56,9,"Public","4 Year",19130,23606
"Morehouse College",4,"Georgia","GA",55700,98700,58,26,"Private","4 Year",41012,41012
"Morningside College",19,"Iowa","IA",44900,82100,60,6,"Private","4 Year",41140,41140
"Mount Carmel College of Nursing",8,"Ohio","OH",56600,99700,78,0,"Private","4 Year",18907,18907
"Mount Marty College",8,"South-Dakota","SD",41400,76500,67,5,"Private","4 Year",35262,35262
"Mount Mercy University",22,"Iowa","IA",47200,79000,51,4,"Private","4 Year",41332,41332
"Mount St. Mary's University",13,"Maryland","MD",50200,94100,50,11,"Private","4 Year",54425,54425
