"name","rank","state_name","state_code","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","type","degree_length","in_state_total","out_of_state_total"
"South Carolina State University",10,"South-Carolina","SC",44500,80800,71,16,"Public","4 Year",20950,31640
"South Dakota School of Mines and Technology",1,"South-Dakota","SD",66500,118500,58,92,"Public","4 Year",18219,22461
"South Dakota State University",2,"South-Dakota","SD",50500,91900,58,18,"Public","4 Year",16660,20024
"Southeast Missouri State University",20,"Missouri","MO",43700,79100,52,9,"Public","4 Year",16353,22090
"Southeastern Louisiana University",15,"Louisiana","LA",46700,83900,51,8,"Public","4 Year",16585,29063
"Southeastern Oklahoma State University",14,"Oklahoma","OK",45000,80500,53,15,"Public","4 Year",13720,22360
"Southern Adventist University",10,"Tennessee","TN",47500,84000,67,9,"Private","4 Year",28890,28890
"Southern Connecticut State University",20,"Connecticut","CT",48500,83600,51,6,"Public","4 Year",23735,34975
"Southern Methodist University",5,"Texas","TX",59700,110400,46,22,"Private","4 Year",71338,71338
"Southern Nazarene University",13,"Oklahoma","OK",46100,81000,62,5,"Private","4 Year",33684,33684
"Southern New Hampshire University",11,"New-Hampshire","NH",47400,83400,49,8,"Private","4 Year",44256,44256
"Southern Oregon University",16,"Oregon","OR",46000,81200,54,6,"Public","4 Year",22853,38783
"Southern University at New Orleans",22,"Louisiana","LA",40100,71000,76,13,"Public","4 Year",18411,20200
"Southern Utah University",8,"Utah","UT",46400,84400,65,7,"Public","4 Year",13859,27675
"Southern Vermont College",9,"Vermont","VT",42900,78700,63,17,"Private","4 Year",36511,36511
"Southern Wesleyan University",20,"South-Carolina","SC",42900,74600,52,5,"Private","4 Year",34506,34506
"Southwestern Oklahoma State University",6,"Oklahoma","OK",47900,90800,58,5,"Public","4 Year",12865,19765
"Southwestern University",25,"Texas","TX",51800,93500,51,19,"Private","4 Year",54000,54000
"Spalding University",13,"Kentucky","KY",44800,79200,71,0,"Private","4 Year",32100,32100
"Spelman College",10,"Georgia","GA",50200,85400,52,24,"Private","4 Year",43179,43179
"Spring Hill College",6,"Alabama","AL",46600,89100,53,12,"Private","4 Year",52926,52926
"St. John's College",7,"Maryland","IL",55900,101200,NA,0,"Private","4 Year",23695,23695
"St. John's College",7,"Maryland","MD",55900,101200,NA,0,"Private","4 Year",65820,65820
"St. John's College",7,"Maryland","NM",55900,101200,NA,0,"Private","4 Year",66266,66266
"St. Mary's University",22,"Texas","TX",52900,95300,61,17,"Private","4 Year",40920,40920
"Stanford University",4,"California","CA",79000,145200,56,51,"Private","4 Year",67117,67117
"Stephens College",24,"Missouri","MO",42800,77200,47,6,"Private","4 Year",41582,41582
"Sterling College",17,"Kansas","VT",42700,79100,73,7,"Private","4 Year",48700,48700
"Sterling College",17,"Kansas","KS",42700,79100,73,7,"Private","4 Year",34280,34280
"Stetson University",21,"Florida","FL",47000,86000,44,7,"Private","4 Year",59082,59082
"Stevens Institute of Technology",1,"New-Jersey","NJ",75100,139900,47,79,"Private","4 Year",67446,67446
"Stevenson University",15,"Maryland","MD",50400,91600,51,15,"Private","4 Year",49312,49312
"Stockton University",25,"New-Jersey","NJ",47400,85800,49,16,"Public","4 Year",26021,33148
"Stonehill College",19,"Massachusetts","MA",55900,103200,42,18,"Private","4 Year",58746,58746
"SUNY Downstate Medical Center",21,"New-York","NY",64000,109300,83,0,"Public","4 Year",7481,16931
"SUNY Maritime College",4,"New-York","NY",74900,140700,53,32,"Public","4 Year",20805,30585
"Swarthmore College",4,"Pennsylvania","PA",67500,123200,44,45,"Private","4 Year",68062,68062
"Tabor College",20,"Kansas","KS",43300,77500,62,7,"Private","4 Year",38095,38095
"Taylor University",10,"Indiana","IN",48700,90600,59,16,"Private","4 Year",43728,43728
"Tennessee State University",19,"Tennessee","TN",47200,78400,68,14,"Public","4 Year",15814,29170
"Tennessee Technological University",6,"Tennessee","TN",53100,95100,48,28,"Public","4 Year",18839,35495
"Texas A&M University-Kingsville",20,"Texas","TX",53100,97500,63,53,"Public","4 Year",17222,29672
"Texas Christian University",19,"Texas","TX",56000,98700,51,9,"Private","4 Year",59754,59754
"Texas Tech University",7,"Texas","TX",56800,106500,54,22,"Public","4 Year",20575,33025
"Texas Tech University Health Sciences Center",8,"Texas","TX",61300,104900,86,3,"Public","4 Year",7911,20361
"The College of New Jersey",6,"New-Jersey","NJ",58200,101800,44,16,"Public","4 Year",30168,41883
"The King's University",2,"Texas","TX",63800,116500,33,0,"Private","4 Year",15000,15000
"Thomas College",8,"Maine","ME",46100,81500,49,3,"Private","4 Year",38150,38150
"Thomas Edison State University",13,"New-Jersey","NJ",52500,95600,54,0,"Public","4 Year",7519,9967
"Thomas More College",2,"Kentucky","KY",50000,90900,56,8,"Private","4 Year",39070,39070
"Thomas More College of Liberal Arts",5,"New-Hampshire","NH",48900,88300,NA,0,"Private","4 Year",31300,31300
"Tougaloo College",12,"Mississippi","MS",36900,66400,69,18,"Private","4 Year",17433,17433
"Towson University",16,"Maryland","MD",51200,91200,47,15,"Public","4 Year",22974,36242
"Transylvania University",7,"Kentucky","KY",47900,85600,51,25,"Private","4 Year",49210,49210
"Trevecca Nazarene University",14,"Tennessee","TN",45300,81700,65,5,"Private","4 Year",33998,33998
"Trine University",6,"Indiana","IN",55100,100300,56,26,"Private","4 Year",42985,42985
"Trinity College",5,"Connecticut","CT",60100,110900,49,22,"Private","4 Year",71660,71660
"Trinity University",11,"Texas","TX",54900,102900,46,27,"Private","4 Year",56440,56440
"Troy University",11,"Alabama","AL",44500,81500,60,8,"Public","4 Year",20645,31060
"Truman State University",12,"Missouri","MO",47900,85800,48,16,"Public","4 Year",16509,23361
"Tufts University",7,"Massachusetts","MA",65200,118100,49,25,"Private","4 Year",70942,70942
"Tuskegee University",4,"Alabama","AL",54500,93500,61,30,"Private","4 Year",31820,31820
"Union University",12,"Tennessee","TN",46400,83000,59,6,"Private","4 Year",43090,43090
"Unity College",15,"Maine","ME",38200,69500,NA,23,"Private","4 Year",39870,39870
"University of Alabama at Birmingham",8,"Alabama","AL",48600,87200,57,17,"Public","4 Year",17110,31030
"University of Alabama in Huntsville",2,"Alabama","AL",57500,103900,59,45,"Public","4 Year",20808,32456
"University of Alaska Anchorage",2,"Alaska","AK",56000,101000,57,10,"Public","4 Year",19888,36058
"University of Alaska Fairbanks",1,"Alaska","AK",59100,101800,54,20,"Public","4 Year",17017,33187
"University of Arizona",2,"Arizona","AZ",56100,101000,51,23,"Public","4 Year",25037,48936
"University of Arkansas",1,"Arkansas","AR",52500,98000,49,18,"Public","4 Year",20150,36188
"University of Arkansas at Little Rock",7,"Arkansas","AR",45600,80800,55,13,"Public","4 Year",17896,30136
"University of Arkansas at Monticello",12,"Arkansas","AR",43500,78300,61,2,"Public","4 Year",14520,20370
"University of Arkansas at Pine Bluff",17,"Arkansas","AR",40500,70500,67,22,"Public","4 Year",15723,21975
"University of Arkansas for Medical Sciences",3,"Arkansas","AR",51700,89100,84,3,"Public","4 Year",8197,15973
"University of Baltimore",20,"Maryland","MD",51000,89600,56,2,"Public","4 Year",8958,21076
"University of Bridgeport",13,"Connecticut","CT",49900,93600,59,31,"Private","4 Year",46710,46710
"University of Central Arkansas",10,"Arkansas","AR",44900,79800,52,8,"Public","4 Year",15605,22128
"University of Central Florida",16,"Florida","FL",49700,88600,50,16,"Public","4 Year",15985,32084
"University of Central Missouri",16,"Missouri","MO",46900,83300,54,45,"Public","4 Year",16439,23208
"University of Central Oklahoma",10,"Oklahoma","OK",45300,82900,56,8,"Public","4 Year",15458,26346
"University of Charleston",8,"West-Virginia","WV",44600,81900,51,4,"Private","4 Year",40080,40080
"University of Chicago",4,"Illinois","IL",64000,114200,41,22,"Private","4 Year",74580,74580
"University of Colorado Boulder",3,"Colorado","CO",57800,109900,48,39,"Public","4 Year",26950,51704
"University of Colorado Colorado Springs",9,"Colorado","CO",52200,90900,53,21,"Public","4 Year",20963,35393
"University of Connecticut",6,"Connecticut","CT",59100,105200,48,24,"Public","4 Year",28604,50972
"University of Dallas",21,"Texas","TX",53000,96400,49,16,"Private","4 Year",53052,53052
"University of Dayton",4,"Ohio","OH",57400,105000,44,33,"Private","4 Year",56480,56480
"University of Delaware",1,"Delaware","DE",58600,105400,43,22,"Public","4 Year",26542,47172
"University of Denver",4,"Colorado","CO",55700,105100,48,12,"Private","4 Year",63561,63561
"University of Detroit Mercy",10,"Michigan","MI",51800,92800,57,13,"Private","4 Year",37496,37496
"University of Dubuque",21,"Iowa","IA",44200,79700,48,7,"Private","4 Year",44040,44040
"University of Evansville",11,"Indiana","IN",50300,89900,54,17,"Private","4 Year",48876,48876
"University of Florida",4,"Florida","FL",55800,102800,52,29,"Public","4 Year",16501,38778
"University of Georgia",3,"Georgia","GA",54400,100700,45,14,"Public","4 Year",21868,40442
"University of Hartford",7,"Connecticut","CT",55200,101600,53,15,"Private","4 Year",53170,53170
"University of Hawaii at Hilo",5,"Hawaii","HI",44000,77200,59,14,"Public","4 Year",19126,32086
"University of Hawaii at Manoa",3,"Hawaii","HI",51600,91600,56,18,"Public","4 Year",25659,47691
"University of Holy Cross",13,"Louisiana","LA",48400,86300,69,3,"Private","4 Year",17300,17300
"University of Houston",9,"Texas","TX",56000,103900,50,24,"Public","4 Year",22776,38226
"University of Houston-Clear Lake",23,"Texas","TX",50700,94800,48,29,"Public","4 Year",8500,24731
"University of Idaho",1,"Idaho","ID",52300,97700,54,22,"Public","4 Year",16744,34380
"University of Illinois at Chicago",7,"Illinois","IL",56300,103800,48,31,"Public","4 Year",25838,39054
"University of Illinois at Urbana-Champaign",3,"Illinois","IL",62600,115300,44,36,"Public","4 Year",26402,42972
"University of Indianapolis",21,"Indiana","IN",47300,84500,55,5,"Private","4 Year",39976,39976
"University of Iowa",3,"Iowa","IA",54100,99400,48,16,"Public","4 Year",20439,42405
"University of Jamestown",3,"North-Dakota","ND",47600,85400,64,11,"Private","4 Year",29546,29546
"University of Kansas",1,"Kansas","KS",53000,98600,52,16,"Public","4 Year",21498,37708
"University of Kentucky",1,"Kentucky","KY",51700,96400,48,19,"Public","4 Year",25227,42081
"University of Louisiana at Lafayette",5,"Louisiana","LA",48200,92500,52,19,"Public","4 Year",19132,32860
"University of Louisiana at Monroe",5,"Louisiana","LA",48500,92500,65,7,"Public","4 Year",16584,28684
"University of Louisville",5,"Kentucky","KY",49500,87600,50,18,"Public","4 Year",20882,36504
"University of Maine",5,"Maine","ME",52000,95000,50,24,"Public","4 Year",21588,41388
"University of Maine at Augusta",12,"Maine","ME",41600,73100,61,7,"Public","4 Year",7988,17918
"University of Maine at Farmington",13,"Maine","ME",41100,71700,64,5,"Public","4 Year",19392,29504
"University of Maine at Fort Kent",11,"Maine","ME",43500,76300,73,5,"Public","4 Year",16335,20535
"University of Maine at Machias",16,"Maine","ME",37100,66200,47,13,"Public","4 Year",16326,23586
"University of Maine at Presque Isle",14,"Maine","ME",39000,70700,58,6,"Public","4 Year",16441,20641
"University of Mary",6,"North-Dakota","ND",46400,79100,64,3,"Private","4 Year",25610,25610
"University of Mary Washington",10,"Virginia","VA",54200,98200,49,17,"Public","4 Year",23306,38552
"University of Memphis",8,"Tennessee","TN",47200,85800,55,12,"Public","4 Year",19676,31388
"University of Miami",6,"Florida","FL",56200,99600,48,22,"Private","4 Year",64334,64334
"University of Mississippi",2,"Mississippi","MS",48500,89100,55,12,"Public","4 Year",19356,35310
"University of Mobile",19,"Alabama","AL",40600,74100,77,7,"Private","4 Year",32420,32420
"University of Montevallo",22,"Alabama","AL",38900,70700,49,7,"Public","4 Year",22090,35110
"University of Mount Union",22,"Ohio","OH",48300,88500,41,19,"Private","4 Year",41460,41460
"University of Nebraska Medical Center",3,"Nebraska","NE",53400,93000,79,6,"Public","4 Year",11558,28898
"University of New England",6,"Maine","ME",50100,91500,69,7,"Private","4 Year",51610,51610
"University of New Hampshire at Manchester",4,"New-Hampshire","NH",51900,90900,50,32,"Public","4 Year",15265,30635
"University of New Haven",11,"Connecticut","CT",52100,94800,52,25,"Private","4 Year",55170,55170
"University of New Orleans",7,"Louisiana","LA",49900,91600,55,23,"Public","4 Year",19629,24465
"University of North Alabama",18,"Alabama","AL",43000,75600,61,6,"Public","4 Year",19570,27880
"University of North Carolina at Chapel Hill",5,"North-Carolina","NC",55000,100800,49,19,"Public","4 Year",20177,46360
"University of North Carolina at Charlotte",8,"North-Carolina","NC",52500,92600,49,25,"Public","4 Year",18144,31578
"University of North Carolina School of the Arts",16,"North-Carolina","NC",46400,82400,44,0,"Public","4 Year",18379,34522
"University of North Dakota",2,"North-Dakota","ND",53800,96000,54,16,"Public","4 Year",17669,29733
"University of North Florida",19,"Florida","FL",48800,86600,51,11,"Public","4 Year",16370,30088
"University of North Georgia",9,"Georgia","GA",47300,85600,51,8,"Public","4 Year",15212,29024
"University of Northern Colorado",12,"Colorado","CO",47700,87100,52,7,"Public","4 Year",20990,32678
"University of Northern Iowa",15,"Iowa","IA",47100,85300,46,8,"Public","4 Year",17886,28428
"University of Notre Dame",2,"Indiana","IN",67000,130500,45,28,"Private","4 Year",68801,68801
"University of Oregon",7,"Oregon","OR",51800,95800,46,13,"Public","4 Year",24861,48441
"University of Pennsylvania",3,"Pennsylvania","PA",72800,133900,41,21,"Private","4 Year",71200,71200
"University of Pikeville",21,"Kentucky","KY",39000,70700,74,11,"Private","4 Year",28750,28750
"University of Portland",3,"Oregon","OR",58500,104900,52,28,"Private","4 Year",59354,59354
"University of Puget Sound",8,"Washington","WA",54200,101300,45,21,"Private","4 Year",62316,62316
"University of Rhode Island",5,"Rhode-Island","RI",54500,99700,50,18,"Public","4 Year",27088,43812
"University of Richmond",7,"Virginia","VA",59800,107500,48,13,"Private","4 Year",64860,64860
"University of Rochester",16,"New-York","NY",61100,112700,50,32,"Private","4 Year",69864,69864
"University of Saint Joseph",14,"Connecticut","CT",49900,88800,63,9,"Private","4 Year",50601,50601
"University of San Diego",25,"California","CA",58900,109400,48,12,"Private","4 Year",62338,62338
"University of San Francisco",23,"California","CA",60600,109900,52,6,"Private","4 Year",62896,62896
"University of Science and Arts of Oklahoma",23,"Oklahoma","OK",37300,67400,49,11,"Public","4 Year",13565,23915
"University of Scranton",23,"Pennsylvania","PA",56400,99700,42,12,"Private","4 Year",59714,59714
"University of Sioux Falls",6,"South-Dakota","SD",44400,78200,64,6,"Private","4 Year",25630,25630
"University of South Alabama",9,"Alabama","AL",47700,86400,56,17,"Public","4 Year",17490,27360
"University of South Dakota",4,"South-Dakota","SD",47500,87900,56,8,"Public","4 Year",17277,20641
"University of Southern California",11,"California","CA",64500,120600,47,23,"Private","4 Year",71620,71620
"University of Southern Maine",9,"Maine","ME",46900,81300,55,8,"Public","4 Year",18970,32230
"University of Southern Mississippi",4,"Mississippi","MS",45100,83900,56,11,"Public","4 Year",18591,20591
"University of the Cumberlands",17,"Kentucky","KY",39800,73800,63,8,"Private","4 Year",32000,32000
"University of the Ozarks",14,"Arkansas","AR",42300,74500,58,16,"Private","4 Year",31630,31630
"University of the Sciences",8,"Pennsylvania","PA",60700,115200,72,12,"Private","4 Year",40938,40938
"University of Toledo",18,"Ohio","OH",51800,92500,52,21,"Public","4 Year",21229,30567
"University of Tulsa",1,"Oklahoma","OK",58700,107200,51,36,"Private","4 Year",52625,52625
"University of Utah",2,"Utah","UT",54800,102600,57,22,"Public","4 Year",19484,39477
"University of Vermont",2,"Vermont","VT",53200,99400,50,22,"Public","4 Year",30738,54978
"University of West Alabama",17,"Alabama","AL",42700,76100,61,4,"Public","4 Year",18156,26606
"University of West Georgia",15,"Georgia","GA",46700,82700,51,9,"Public","4 Year",18210,31692
"University of Wisconsin-Eau Claire",7,"Wisconsin","WI",52100,93600,46,14,"Public","4 Year",16633,24909
"University of Wisconsin-La Crosse",14,"Wisconsin","WI",49600,88300,53,19,"Public","4 Year",15437,24255
"University of Wisconsin-Madison",3,"Wisconsin","WI",57300,104400,48,33,"Public","4 Year",21669,47919
"University of Wisconsin-Milwaukee",9,"Wisconsin","WI",50600,90300,50,17,"Public","4 Year",21812,33092
"University of Wisconsin-Oshkosh",19,"Wisconsin","WI",47700,84300,52,10,"Public","4 Year",16268,23841
"University of Wisconsin-Parkside",24,"Wisconsin","WI",46000,81400,47,17,"Public","4 Year",15555,23544
"University of Wisconsin-Platteville",4,"Wisconsin","WI",56800,100300,50,38,"Public","4 Year",15151,23001
"University of Wisconsin-River Falls",25,"Wisconsin","WI",47100,81300,52,14,"Public","4 Year",14375,21948
"University of Wisconsin-Stout",11,"Wisconsin","WI",50400,89500,47,14,"Public","4 Year",16381,24347
"University of Wisconsin-Whitewater",12,"Wisconsin","WI",48900,89300,44,8,"Public","4 Year",14478,23051
"University of Wyoming",1,"Wyoming","WY",52400,98800,58,25,"Public","4 Year",15720,27810
"Upper Iowa University",24,"Iowa","IA",44200,78000,56,3,"Private","4 Year",38904,38904
"Ursinus College",18,"Pennsylvania","PA",54400,101800,42,40,"Private","4 Year",64800,64800
"Utah State University",4,"Utah","UT",52400,93900,61,14,"Public","4 Year",13824,27905
"Utah Valley University",7,"Utah","UT",51100,90600,57,12,"Public","4 Year",5726,16296
"Valdosta State University",19,"Georgia","GA",43400,81000,57,7,"Public","4 Year",15586,29068
"Valley City State University",8,"North-Dakota","ND",39900,68600,56,3,"Public","4 Year",14072,23612
"Valparaiso University",8,"Indiana","IN",53300,98000,52,31,"Private","4 Year",52120,52120
"Vanderbilt University",1,"Tennessee","TN",65400,119100,48,23,"Private","4 Year",66050,66050
"Vermont Technical College",5,"Vermont","VT",52400,93900,41,4,"Public","4 Year",25706,38378
"Villanova University",7,"Pennsylvania","PA",65100,119500,41,23,"Private","4 Year",67328,67328
"Virginia Commonwealth University",16,"Virginia","VA",49900,88200,52,18,"Public","4 Year",24918,45566
"Virginia Military Institute",2,"Virginia","VA",65900,120600,68,47,"Public","4 Year",28290,55134
"Virginia Polytechnic Institute and State University",4,"Virginia","VA",62700,114000,48,42,"Public","4 Year",22554,40238
"Virginia State University",24,"Virginia","VA",44900,81800,61,14,"Public","4 Year",20264,30784
"Viterbo University",22,"Wisconsin","WI",46800,81900,62,3,"Private","4 Year",37030,37030
"Wabash College",3,"Indiana","IN",62200,114400,40,34,"Private","4 Year",53500,53500
"Wake Forest University",2,"North-Carolina","NC",60700,114800,44,13,"Private","4 Year",69354,69354
"Walla Walla University",11,"Washington","WA",53700,97800,54,22,"Private","4 Year",32310,32310
"Walsh College of Accountancy and Business Administration",20,"Michigan","MI",49400,85200,42,5,"Private","4 Year",17625,17625
"Wartburg College",12,"Iowa","IA",49300,88000,49,34,"Private","4 Year",51276,51276
"Washburn University",12,"Kansas","KS",47000,83000,54,4,"Public","4 Year",17107,28177
"Washington Adventist University",10,"Maryland","MD",55600,97600,63,9,"Private","4 Year",33270,33270
"Washington and Lee University",1,"Virginia","VA",65900,123200,40,18,"Private","4 Year",66380,66380
"Washington College",14,"Maryland","MD",52800,93500,55,21,"Private","4 Year",59392,59392
"Washington State University",5,"Washington","WA",55900,103700,50,20,"Public","4 Year",22979,37763
"Wayne State College",18,"Nebraska","NE",40600,73400,54,11,"Public","4 Year",14657,19967
"Wayne State University",12,"Michigan","MI",50800,91700,53,21,"Public","4 Year",23774,38668
"Webb Institute",3,"New-York","NY",80800,141800,NA,100,"Private","4 Year",65225,65225
"Weber State University",3,"Utah","UT",53900,94000,60,8,"Public","4 Year",12110,22864
"Webster University",15,"Missouri","MO",46500,83500,50,2,"Private","4 Year",38950,38950
"Wellesley College",18,"Massachusetts","MA",58900,106200,48,34,"Private","4 Year",70200,70200
"Wentworth Institute of Technology",15,"Massachusetts","MA",62700,112700,53,39,"Private","4 Year",48140,48140
"Wesley College",4,"Delaware","DE",45400,77300,50,2,"Private","4 Year",38123,38123
"Wesleyan University",3,"Connecticut","CT",61600,117000,53,21,"Private","4 Year",69974,69974
"West Liberty University",10,"West-Virginia","WV",42500,77000,51,6,"Public","4 Year",17136,25076
"West Virginia State University",12,"West-Virginia","WV",41800,76000,46,8,"Public","4 Year",20059,27964
"West Virginia University",2,"West-Virginia","WV",54400,99900,52,22,"Public","4 Year",19774,35868
"West Virginia University at Parkersburg",18,"West-Virginia","WV",36700,65200,67,3,"Public","2 Year",6330,10920
"West Virginia University Institute of Technology",1,"West-Virginia","WV",57100,103700,56,40,"Public","4 Year",18854,30038
"West Virginia Wesleyan College",5,"West-Virginia","WV",47000,85200,53,21,"Private","4 Year",40496,40496
"Western Carolina University",25,"North-Carolina","NC",44700,77700,58,8,"Public","4 Year",13902,17902
"Western Connecticut State University",15,"Connecticut","CT",51700,88100,50,6,"Public","4 Year",23891,35131
"Western Governors University",6,"Utah","UT",54500,91500,57,9,"Private","4 Year",6670,6670
"Western Kentucky University",8,"Kentucky","KY",45500,83100,49,10,"Public","4 Year",18945,34839
"Western Michigan University",11,"Michigan","MI",50900,92200,47,16,"Public","4 Year",22626,25516
"Western New England University",20,"Massachusetts","MA",56400,103000,44,21,"Private","4 Year",50394,50394
"Western New Mexico University",5,"New-Mexico","NM",41700,76700,75,4,"Public","4 Year",15960,24367
"Western Oregon University",20,"Oregon","OR",44500,79300,50,5,"Public","4 Year",19955,36830
"Western State Colorado University",14,"Colorado","CO",44800,81500,47,19,"Public","4 Year",19749,31221
"Western Washington University",9,"Washington","WA",55000,99300,45,16,"Public","4 Year",19598,35010
"Wheeling Jesuit University",7,"West-Virginia","WV",44800,83400,57,5,"Private","4 Year",39190,39190
"Whitman College",7,"Washington","WA",54600,102600,53,33,"Private","4 Year",64938,64938
"Whitworth University",17,"Washington","WA",49900,88800,52,18,"Private","4 Year",55136,55136
"Wichita State University",7,"Kansas","KS",48700,87300,57,24,"Public","4 Year",19523,28704
"Widener University",21,"Pennsylvania","PA",55700,100100,57,13,"Private","4 Year",60394,60394
"Willamette University",6,"Oregon","OR",52200,97700,49,14,"Private","4 Year",62514,62514
"William Carey University",9,"Mississippi","MS",41100,71800,61,6,"Private","4 Year",19410,19410
"William Jewell College",6,"Missouri","MO",51400,94500,60,12,"Private","4 Year",44330,44330
"William Paterson University of New Jersey",21,"New-Jersey","NJ",50500,90200,44,7,"Public","4 Year",24505,32705
"William Penn University",23,"Iowa","IA",43900,78300,59,7,"Private","4 Year",32552,32552
"Williams College",5,"Massachusetts","MA",67500,127500,47,32,"Private","4 Year",69950,69950
"Wilmington University",5,"Delaware","DE",45100,76600,50,4,"Private","4 Year",11210,11210
"Winona State University",16,"Minnesota","MN",49700,86800,51,10,"Public","4 Year",18435,24358
"Winthrop University",11,"South-Carolina","SC",44300,79700,49,9,"Public","4 Year",24902,39158
"Wisconsin Lutheran College",20,"Wisconsin","WI",46200,82500,45,10,"Private","4 Year",39915,39915
"Wittenberg University",3,"Ohio","OH",52400,105400,61,22,"Private","4 Year",49856,49856
"Wofford College",4,"South-Carolina","SC",51300,96600,51,28,"Private","4 Year",56530,56530
"Worcester Polytechnic Institute",3,"Massachusetts","MA",73600,135500,47,86,"Private","4 Year",65304,65304
"Xavier University",16,"Ohio","OH",51800,94000,46,7,"Private","4 Year",51310,51310
"Xavier University of Louisiana",11,"Louisiana","LA",46700,88200,63,35,"Private","4 Year",33535,33535
"Yale University",1,"Connecticut","CT",70300,138300,53,22,"Private","4 Year",69430,69430
"Yeshiva University",15,"New-York","NY",63500,112800,40,11,"Private","4 Year",55750,55750
